Year,Deaths
1946,290546.0
1947,391713.0
1948,465370.0
1949,422333.0
1950,535512.0
1951,385748.0
1952,140228.0
1953,88994.0
1954,63113.0
1955,22895.0
1956,32812.0
1957,21341.0
1958,34168.0
1959,42966.0
1960,23406.0
1961,31854.0
1962,41023.0
1963,50113.0
1964,41301.0
1965,76949.0
1966,72259.0
1967,103292.0
1968,209957.0
1969,174691.0
1970,185332.0
1971,187636.0
1972,277873.0
1973,201681.0
1974,225439.0
1975,104108.0
1976,80678.0
1977,17422.0
1978,72176.0
1979,126039.0
1980,94644.0
1981,159993.0
1982,197667.0
1983,194804.0
1984,221048.0
1985,202692.0
1986,196576.0
1987,165957.0
1988,127198.0
1989,62460.0
1990,56001.0
1991,42189.0
1992,33253.0
1993,56057.0
1994,39568.0
1995,43930.0
1996,27912.0
1997,23108.0
1998,70056.0
1999,94942.0
2000,66114.0
2001,60992.0
2002,16155.0
2003,29218.0
2004,32707.0
2005,31749.0
2006,52585.0
2007,56664.0
2008,42641.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
